"country"	"core_capacity"	"requirement"	"action"	"year_number"	"year_calendar"	"cost"	"currency"	"notes"
"Afghanistan"	"P.1 National Legislation, Policy and Financing"	"P.1.1.1"	"Establish legislative advisors committee to review the national legislations based on IHR"	"N/A"	"N/A"	"N/A"	"USD (2019)"	"Line-item costs for this core capacity don't align with summary in document (71,393 from lines vs 71,391 in document). Difference of $2 or <0.01% of observed line item cost."
"Afghanistan"	"P.1 National Legislation, Policy and Financing"	"P.1.1.2"	"Convene annual meetings of IHR legislation committee for reviewing the National Legislations and IHR legislation updates and write the final report"	"1"	"2019"	"291.00"	"USD (2019)"	"Line-item costs for this core capacity don't align with summary in document (71,393 from lines vs 71,391 in document). Difference of $2 or <0.01% of observed line item cost."
"Afghanistan"	"P.1 National Legislation, Policy and Financing"	"P.1.1.2"	"Convene annual meetings of IHR legislation committee for reviewing the National Legislations and IHR legislation updates and write the final report"	"2"	"2020"	"291.00"	"USD (2019)"	"Line-item costs for this core capacity don't align with summary in document (71,393 from lines vs 71,391 in document). Difference of $2 or <0.01% of observed line item cost."
"Afghanistan"	"P.1 National Legislation, Policy and Financing"	"P.1.1.2"	"Convene annual meetings of IHR legislation committee for reviewing the National Legislations and IHR legislation updates and write the final report"	"3"	"2021"	"291.00"	"USD (2019)"	"Line-item costs for this core capacity don't align with summary in document (71,393 from lines vs 71,391 in document). Difference of $2 or <0.01% of observed line item cost."
"Afghanistan"	"P.1 National Legislation, Policy and Financing"	"P.1.1.2"	"Convene annual meetings of IHR legislation committee for reviewing the National Legislations and IHR legislation updates and write the final report"	"4"	"2022"	"291.00"	"USD (2019)"	"Line-item costs for this core capacity don't align with summary in document (71,393 from lines vs 71,391 in document). Difference of $2 or <0.01% of observed line item cost."
"Afghanistan"	"P.1 National Legislation, Policy and Financing"	"P.1.1.2"	"Convene annual meetings of IHR legislation committee for reviewing the National Legislations and IHR legislation updates and write the final report"	"5"	"2023"	"291.00"	"USD (2019)"	"Line-item costs for this core capacity don't align with summary in document (71,393 from lines vs 71,391 in document). Difference of $2 or <0.01% of observed line item cost."
"Afghanistan"	"P.1 National Legislation, Policy and Financing"	"P.1.2.1"	"Update the national legislations based on IHR Legislation review report and endorse new changes"	"1"	"2019"	"26,227.00"	"USD (2019)"	"Line-item costs for this core capacity don't align with summary in document (71,393 from lines vs 71,391 in document). Difference of $2 or <0.01% of observed line item cost."
"Afghanistan"	"P.1 National Legislation, Policy and Financing"	"P.1.2.1"	"Update the national legislations based on IHR Legislation review report and endorse new changes"	"4"	"2022"	"26,227.00"	"USD (2019)"	"Line-item costs for this core capacity don't align with summary in document (71,393 from lines vs 71,391 in document). Difference of $2 or <0.01% of observed line item cost."
"Afghanistan"	"P.1 National Legislation, Policy and Financing"	"P.1.2.2"	"Develop national policy for influenza vaccination"	"2"	"2020"	"17,484.00"	"USD (2019)"	"Line-item costs for this core capacity don't align with summary in document (71,393 from lines vs 71,391 in document). Difference of $2 or <0.01% of observed line item cost."
"Afghanistan"	"P.2 IHR Coordination, Communication and Advocacy"	"P.2.1.1"	"Formulate National IHR multi-sectoral Commitee with membership of all 19 areas related stakeholders and endorsed ToR"	"N/A"	"N/A"	"N/A"	"USD (2019)"	"Line-item costs for this core capacity don't align with summary in document (71,393 from lines vs 71,391 in document). Difference of $2 or <0.01% of observed line item cost."
